job_id,job_title,company,expected_salary,location,short_description,listed_on,link,error,index,tags,content
,,Software International Corporation (M) Sdn Bhd,,Kuala Lumpur,Responsible for the overall enterprise application development and maintenance delivery for large corporations both locally and overseas.,01-06-2024,,False,,,
,,,,,,,,True,0.0,['error'],'list' object has no attribute 'usage'
84539478,Property Project Sales Agent,Jason Hee GLP Properties Kuala Lumpur,"RM 8,000 – RM 12,000 per month","Bukit Jalil, Kuala Lumpur","Promoting new project developer (landed, condo, shop & factory). Invite prospect to show unit & gallery. Promoting Roadshow Booth in Shopping Mall.",29-09-2024,https://my.jobstreet.com/job/84539478?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84525328,"Marketing Operations, Assistant Manager",MyAtlas Digital,"RM 12,000 – RM 13,500 per month","Taman Tun Dr Ismail, Kuala Lumpur","Spearhead and optimize all contents, campaigns within budget and establishing guidelines as well as SOPs to ensure efficient operation.",28-09-2024,https://my.jobstreet.com/job/84525328?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84606563,Head of Digital Transformation,Manulife Insurance Berhad,,Kuala Lumpur,"The Head of Agency Digital Transformation is responsible for leading the digital deployment, training, and field help desk activities for the...",30-09-2024,https://my.jobstreet.com/job/84606563?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84592283,Technical Support Engineer (Azure/M365),CENTIFIC GLOBAL SOLUTIONS (M) SDN. BHD.,,Kuala Lumpur,You will be an elite of a customer facing support team working on resolving complex issues with Azure Cloud and On-Prem Microsoft Identity product,30-09-2024,https://my.jobstreet.com/job/84592283?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84564672,Chief Marketing Officer (CMO),,"RM 12,000 – RM 18,000 per month","Mid Valley City, Kuala Lumpur","You'll drive online and offline campaigns, including guerrilla marketing tactics, to disrupt the market and expand our reach",29-09-2024,https://my.jobstreet.com/job/84564672?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84580407,Team Lead - Project Support,Cochlear Malaysia Sdn Bhd,,"Bangsar, Kuala Lumpur","The purpose of this position is to lead and manage the Project Support team, providing comprehensive support to project support users.",29-09-2024,https://my.jobstreet.com/job/84580407?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84576487,SOFTWARE TEST LEAD (MNC INSURANCE COMPANY),Private Advertiser,,Kuala Lumpur,Our financial/insurance client is seeking an experienced Test Lead to join their dynamic team.,29-09-2024,https://my.jobstreet.com/job/84576487?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84561809,Data Center Engineer (Team Lead),GLOBAL DEVELOPMENT TECHNOLOGY SDN.BHD.,"RM 6,700 – RM 10,000 per month","Bukit Jalil, Kuala Lumpur",Data Center Engineer,29-09-2024,https://my.jobstreet.com/job/84561809?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84526337,Customer Support Executive - Chinese & Korean speaking (中韩客服),Xevera Sdn. Bhd.,"RM 9,000 – RM 13,000 per month","Kuala Lumpur City Centre, Kuala Lumpur",中韩英文流利，沟通能力强，拥有金融行业经验，能够迅速解决客户问题并提升客户满意度。,28-09-2024,https://my.jobstreet.com/job/84526337?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84552842,Linux System Administrator,CloudByte Solutions Sdn. Bhd.,"RM 6,000 – RM 9,000 per month",Kuala Lumpur,"We are looking for enthusiastic, customer focused engineers to be part of our Technical Operations Team based in Kuala Lumpur, Malaysia.",28-09-2024,https://my.jobstreet.com/job/84552842?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84602009,Personal Assistant to Group CEO,GD Pavilion Sdn Bhd,"RM 5,000 – RM 7,500 per month",Kuala Lumpur,"managing schedules, coordinating meetings, traveling as needed, and acting as a representative of the company in key business situations.",30-09-2024,https://my.jobstreet.com/job/84602009?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84563201,International Business Development Manager (with Performance Bonus),JIALIAN ENTERPRISE DEVELOPMENT (MALAYSIA) SDN BHD,"RM 9,000 – RM 11,000 per month",Kuala Lumpur,"Join a supportive team with real impact, growth opportunities, and exciting projects that help shape the future of our company.",29-09-2024,https://my.jobstreet.com/job/84563201?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84574711,Associate Director (IT Consultative Sales),Private Advertiser,"RM 18,000 – RM 20,000 per month","Kuala Lumpur City Centre, Kuala Lumpur",Sales & Business Acumen – Strong ability to drive revenue and meet quotas. Excellent Perks and benefits Solution & Consultative Selling,29-09-2024,https://my.jobstreet.com/job/84574711?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84558702,Cloud Enterprise Application Security Architect,Perbadanan Insurans Deposit Malaysia (PIDM),,Kuala Lumpur,"Protect what matters at PIDM! Secure apps, shape strategy & drive ISO/IEC 27001 standards across cloud, hybrid & on-prem.",29-09-2024,https://my.jobstreet.com/job/84558702?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84525790,Channel Operation Manager_ APAC Digital Power,Huawei Technologies (Malaysia) Sdn. Bhd,,Kuala Lumpur,"As a Channel Development Manager, you'll drive strategic partnerships and distribution channels, shaping the future of solar energy integration.",28-09-2024,https://my.jobstreet.com/job/84525790?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84590320,Unit Trust Consultant (Nationwide Recruitment) FULL/PART-TIME,PUBLIC MUTUAL BERHAD,"RM 6,900 – RM 10,000 per month",Kuala Lumpur,Live Your Dreams by Being A Public Mutual Unit Trust Consultant (UTC)* Today! Extensive Training and Workshops for Self-development 1 to 1...,30-09-2024,https://my.jobstreet.com/job/84590320?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84586146,"Manager, Retail Training & Development, Coach",COACH South East Asia,,"Kuala Lumpur City Centre, Kuala Lumpur","To support driving business and talent development through identify/analyze, training and development needs, develop and implement training programs.",30-09-2024,https://my.jobstreet.com/job/84586146?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84555807,Senior Contracts Executive / Assistant Contracts Manager,Superior Property Development Sdn Bhd,"RM 6,000 – RM 7,500 per month",Kuala Lumpur,Join us as Assistant Contracts Manager! Don’t miss this opportunity to be part of SPD's journey towards excellence in the property development!,29-09-2024,https://my.jobstreet.com/job/84555807?type=standard&ref=search-standalone&origin=cardTitle,False,,,
,,Private Advertiser,,Kuala Lumpur,Challenging role with competitive remuneration and excellent work-life balance. Join our dynamic team at Kuala Lumpur,28-09-2024,,False,,,
84530646,Business Development Manager,RICHEWOOD CAPITAL SDN. BHD.,"RM 7,000 – RM 10,000 per month","Taman Tun Dr Ismail, Kuala Lumpur","Able to drive growth, conduct research, promote products, and build relationships. Strong sales, communication, and English/Mandarin skills required.",28-09-2024,https://my.jobstreet.com/job/84530646?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84586918,Mechanical & Electrical (M&E) Engineer,Jape Group Australia,,Kuala Lumpur,Ready to contribute your expertise to impactful projects in Timor-Leste? Apply now and become part of a team committed to excellence and innovation.,30-09-2024,https://my.jobstreet.com/job/84586918?type=standard&ref=search-standalone&origin=cardTitle,False,,,
84581050,"Lead, Database Solutioning",Hong Leong Bank Berhad,,Kuala Lumpur,"Database Solutioning Lead wanted! Design, architect, & implement scalable database solutions. Lead engineers & shape our future. Apply now!",29-09-2024,https://my.jobstreet.com/job/84581050?type=standard&ref=search-standalone&origin=cardTitle,False,,,
